number,text,numberInSurah,surah_number,surah_name,englishName,englishNameTranslation,revelationType,UrduTranslation,UrduTafseer,EnglishTranslation,Englishtafseer,SindhiTranslation,SindhiTafseer,HindiTranslation,HindiTafseer,PushtoTransation,PushtoTafseer
2110,وَقُلْ جَآءَ ٱلْحَقُّ وَزَهَقَ ٱلْبَٰطِلُ ۚ إِنَّ ٱلْبَٰطِلَ كَانَ زَهُوقًۭا,81,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-81- Urdu Translation: ,17-81- Urdu Tafseer: ,17-81- English Translation: ,17-81- English Tafseer: ,17-81- Sindhi Translation: ,17-81- Sindhi Tafseer:,17-81- Hindi Translation: ,17-81- Hindi Tafseer: ,17-81- Pushto Translation: ,17-81- Pushto Tafseer: 
2111,وَنُنَزِّلُ مِنَ ٱلْقُرْءَانِ مَا هُوَ شِفَآءٌۭ وَرَحْمَةٌۭ لِّلْمُؤْمِنِينَ ۙ وَلَا يَزِيدُ ٱلظَّٰلِمِينَ إِلَّا خَسَارًۭا,82,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-82- Urdu Translation: ,17-82- Urdu Tafseer: ,17-82- English Translation: ,17-82- English Tafseer: ,17-82- Sindhi Translation: ,17-82- Sindhi Tafseer:,17-82- Hindi Translation: ,17-82- Hindi Tafseer: ,17-82- Pushto Translation: ,17-82- Pushto Tafseer: 
2112,وَإِذَآ أَنْعَمْنَا عَلَى ٱلْإِنسَٰنِ أَعْرَضَ وَنَـَٔا بِجَانِبِهِۦ ۖ وَإِذَا مَسَّهُ ٱلشَّرُّ كَانَ يَـُٔوسًۭا,83,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-83- Urdu Translation: ,17-83- Urdu Tafseer: ,17-83- English Translation: ,17-83- English Tafseer: ,17-83- Sindhi Translation: ,17-83- Sindhi Tafseer:,17-83- Hindi Translation: ,17-83- Hindi Tafseer: ,17-83- Pushto Translation: ,17-83- Pushto Tafseer: 
2113,قُلْ كُلٌّۭ يَعْمَلُ عَلَىٰ شَاكِلَتِهِۦ فَرَبُّكُمْ أَعْلَمُ بِمَنْ هُوَ أَهْدَىٰ سَبِيلًۭا,84,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-84- Urdu Translation: ,17-84- Urdu Tafseer: ,17-84- English Translation: ,17-84- English Tafseer: ,17-84- Sindhi Translation: ,17-84- Sindhi Tafseer:,17-84- Hindi Translation: ,17-84- Hindi Tafseer: ,17-84- Pushto Translation: ,17-84- Pushto Tafseer: 
2114,وَيَسْـَٔلُونَكَ عَنِ ٱلرُّوحِ ۖ قُلِ ٱلرُّوحُ مِنْ أَمْرِ رَبِّى وَمَآ أُوتِيتُم مِّنَ ٱلْعِلْمِ إِلَّا قَلِيلًۭا,85,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-85- Urdu Translation: ,17-85- Urdu Tafseer: ,17-85- English Translation: ,17-85- English Tafseer: ,17-85- Sindhi Translation: ,17-85- Sindhi Tafseer:,17-85- Hindi Translation: ,17-85- Hindi Tafseer: ,17-85- Pushto Translation: ,17-85- Pushto Tafseer: 
2115,وَلَئِن شِئْنَا لَنَذْهَبَنَّ بِٱلَّذِىٓ أَوْحَيْنَآ إِلَيْكَ ثُمَّ لَا تَجِدُ لَكَ بِهِۦ عَلَيْنَا وَكِيلًا,86,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-86- Urdu Translation: ,17-86- Urdu Tafseer: ,17-86- English Translation: ,17-86- English Tafseer: ,17-86- Sindhi Translation: ,17-86- Sindhi Tafseer:,17-86- Hindi Translation: ,17-86- Hindi Tafseer: ,17-86- Pushto Translation: ,17-86- Pushto Tafseer: 
2116,إِلَّا رَحْمَةًۭ مِّن رَّبِّكَ ۚ إِنَّ فَضْلَهُۥ كَانَ عَلَيْكَ كَبِيرًۭا,87,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-87- Urdu Translation: ,17-87- Urdu Tafseer: ,17-87- English Translation: ,17-87- English Tafseer: ,17-87- Sindhi Translation: ,17-87- Sindhi Tafseer:,17-87- Hindi Translation: ,17-87- Hindi Tafseer: ,17-87- Pushto Translation: ,17-87- Pushto Tafseer: 
2117,قُل لَّئِنِ ٱجْتَمَعَتِ ٱلْإِنسُ وَٱلْجِنُّ عَلَىٰٓ أَن يَأْتُوا۟ بِمِثْلِ هَٰذَا ٱلْقُرْءَانِ لَا يَأْتُونَ بِمِثْلِهِۦ وَلَوْ كَانَ بَعْضُهُمْ لِبَعْضٍۢ ظَهِيرًۭا,88,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-88- Urdu Translation: ,17-88- Urdu Tafseer: ,17-88- English Translation: ,17-88- English Tafseer: ,17-88- Sindhi Translation: ,17-88- Sindhi Tafseer:,17-88- Hindi Translation: ,17-88- Hindi Tafseer: ,17-88- Pushto Translation: ,17-88- Pushto Tafseer: 
2118,وَلَقَدْ صَرَّفْنَا لِلنَّاسِ فِى هَٰذَا ٱلْقُرْءَانِ مِن كُلِّ مَثَلٍۢ فَأَبَىٰٓ أَكْثَرُ ٱلنَّاسِ إِلَّا كُفُورًۭا,89,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-89- Urdu Translation: ,17-89- Urdu Tafseer: ,17-89- English Translation: ,17-89- English Tafseer: ,17-89- Sindhi Translation: ,17-89- Sindhi Tafseer:,17-89- Hindi Translation: ,17-89- Hindi Tafseer: ,17-89- Pushto Translation: ,17-89- Pushto Tafseer: 
2119,وَقَالُوا۟ لَن نُّؤْمِنَ لَكَ حَتَّىٰ تَفْجُرَ لَنَا مِنَ ٱلْأَرْضِ يَنۢبُوعًا,90,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-90- Urdu Translation: ,17-90- Urdu Tafseer: ,17-90- English Translation: ,17-90- English Tafseer: ,17-90- Sindhi Translation: ,17-90- Sindhi Tafseer:,17-90- Hindi Translation: ,17-90- Hindi Tafseer: ,17-90- Pushto Translation: ,17-90- Pushto Tafseer: 
2120,أَوْ تَكُونَ لَكَ جَنَّةٌۭ مِّن نَّخِيلٍۢ وَعِنَبٍۢ فَتُفَجِّرَ ٱلْأَنْهَٰرَ خِلَٰلَهَا تَفْجِيرًا,91,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-91- Urdu Translation: ,17-91- Urdu Tafseer: ,17-91- English Translation: ,17-91- English Tafseer: ,17-91- Sindhi Translation: ,17-91- Sindhi Tafseer:,17-91- Hindi Translation: ,17-91- Hindi Tafseer: ,17-91- Pushto Translation: ,17-91- Pushto Tafseer: 
2121,أَوْ تُسْقِطَ ٱلسَّمَآءَ كَمَا زَعَمْتَ عَلَيْنَا كِسَفًا أَوْ تَأْتِىَ بِٱللَّهِ وَٱلْمَلَٰٓئِكَةِ قَبِيلًا,92,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-92- Urdu Translation: ,17-92- Urdu Tafseer: ,17-92- English Translation: ,17-92- English Tafseer: ,17-92- Sindhi Translation: ,17-92- Sindhi Tafseer:,17-92- Hindi Translation: ,17-92- Hindi Tafseer: ,17-92- Pushto Translation: ,17-92- Pushto Tafseer: 
2122,أَوْ يَكُونَ لَكَ بَيْتٌۭ مِّن زُخْرُفٍ أَوْ تَرْقَىٰ فِى ٱلسَّمَآءِ وَلَن نُّؤْمِنَ لِرُقِيِّكَ حَتَّىٰ تُنَزِّلَ عَلَيْنَا كِتَٰبًۭا نَّقْرَؤُهُۥ ۗ قُلْ سُبْحَانَ رَبِّى هَلْ كُنتُ إِلَّا بَشَرًۭا رَّسُولًۭا,93,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-93- Urdu Translation: ,17-93- Urdu Tafseer: ,17-93- English Translation: ,17-93- English Tafseer: ,17-93- Sindhi Translation: ,17-93- Sindhi Tafseer:,17-93- Hindi Translation: ,17-93- Hindi Tafseer: ,17-93- Pushto Translation: ,17-93- Pushto Tafseer: 
2123,وَمَا مَنَعَ ٱلنَّاسَ أَن يُؤْمِنُوٓا۟ إِذْ جَآءَهُمُ ٱلْهُدَىٰٓ إِلَّآ أَن قَالُوٓا۟ أَبَعَثَ ٱللَّهُ بَشَرًۭا رَّسُولًۭا,94,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-94- Urdu Translation: ,17-94- Urdu Tafseer: ,17-94- English Translation: ,17-94- English Tafseer: ,17-94- Sindhi Translation: ,17-94- Sindhi Tafseer:,17-94- Hindi Translation: ,17-94- Hindi Tafseer: ,17-94- Pushto Translation: ,17-94- Pushto Tafseer: 
2124,قُل لَّوْ كَانَ فِى ٱلْأَرْضِ مَلَٰٓئِكَةٌۭ يَمْشُونَ مُطْمَئِنِّينَ لَنَزَّلْنَا عَلَيْهِم مِّنَ ٱلسَّمَآءِ مَلَكًۭا رَّسُولًۭا,95,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-95- Urdu Translation: ,17-95- Urdu Tafseer: ,17-95- English Translation: ,17-95- English Tafseer: ,17-95- Sindhi Translation: ,17-95- Sindhi Tafseer:,17-95- Hindi Translation: ,17-95- Hindi Tafseer: ,17-95- Pushto Translation: ,17-95- Pushto Tafseer: 
2125,قُلْ كَفَىٰ بِٱللَّهِ شَهِيدًۢا بَيْنِى وَبَيْنَكُمْ ۚ إِنَّهُۥ كَانَ بِعِبَادِهِۦ خَبِيرًۢا بَصِيرًۭا,96,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-96- Urdu Translation: ,17-96- Urdu Tafseer: ,17-96- English Translation: ,17-96- English Tafseer: ,17-96- Sindhi Translation: ,17-96- Sindhi Tafseer:,17-96- Hindi Translation: ,17-96- Hindi Tafseer: ,17-96- Pushto Translation: ,17-96- Pushto Tafseer: 
2126,وَمَن يَهْدِ ٱللَّهُ فَهُوَ ٱلْمُهْتَدِ ۖ وَمَن يُضْلِلْ فَلَن تَجِدَ لَهُمْ أَوْلِيَآءَ مِن دُونِهِۦ ۖ وَنَحْشُرُهُمْ يَوْمَ ٱلْقِيَٰمَةِ عَلَىٰ وُجُوهِهِمْ عُمْيًۭا وَبُكْمًۭا وَصُمًّۭا ۖ مَّأْوَىٰهُمْ جَهَنَّمُ ۖ كُلَّمَا خَبَتْ زِدْنَٰهُمْ سَعِيرًۭا,97,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-97- Urdu Translation: ,17-97- Urdu Tafseer: ,17-97- English Translation: ,17-97- English Tafseer: ,17-97- Sindhi Translation: ,17-97- Sindhi Tafseer:,17-97- Hindi Translation: ,17-97- Hindi Tafseer: ,17-97- Pushto Translation: ,17-97- Pushto Tafseer: 
2127,ذَٰلِكَ جَزَآؤُهُم بِأَنَّهُمْ كَفَرُوا۟ بِـَٔايَٰتِنَا وَقَالُوٓا۟ أَءِذَا كُنَّا عِظَٰمًۭا وَرُفَٰتًا أَءِنَّا لَمَبْعُوثُونَ خَلْقًۭا جَدِيدًا,98,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-98- Urdu Translation: ,17-98- Urdu Tafseer: ,17-98- English Translation: ,17-98- English Tafseer: ,17-98- Sindhi Translation: ,17-98- Sindhi Tafseer:,17-98- Hindi Translation: ,17-98- Hindi Tafseer: ,17-98- Pushto Translation: ,17-98- Pushto Tafseer: 
2128,۞ أَوَلَمْ يَرَوْا۟ أَنَّ ٱللَّهَ ٱلَّذِى خَلَقَ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضَ قَادِرٌ عَلَىٰٓ أَن يَخْلُقَ مِثْلَهُمْ وَجَعَلَ لَهُمْ أَجَلًۭا لَّا رَيْبَ فِيهِ فَأَبَى ٱلظَّٰلِمُونَ إِلَّا كُفُورًۭا,99,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-99- Urdu Translation: ,17-99- Urdu Tafseer: ,17-99- English Translation: ,17-99- English Tafseer: ,17-99- Sindhi Translation: ,17-99- Sindhi Tafseer:,17-99- Hindi Translation: ,17-99- Hindi Tafseer: ,17-99- Pushto Translation: ,17-99- Pushto Tafseer: 
2129,قُل لَّوْ أَنتُمْ تَمْلِكُونَ خَزَآئِنَ رَحْمَةِ رَبِّىٓ إِذًۭا لَّأَمْسَكْتُمْ خَشْيَةَ ٱلْإِنفَاقِ ۚ وَكَانَ ٱلْإِنسَٰنُ قَتُورًۭا,100,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-100- Urdu Translation: ,17-100- Urdu Tafseer: ,17-100- English Translation: ,17-100- English Tafseer: ,17-100- Sindhi Translation: ,17-100- Sindhi Tafseer:,17-100- Hindi Translation: ,17-100- Hindi Tafseer: ,17-100- Pushto Translation: ,17-100- Pushto Tafseer: 
2130,وَلَقَدْ ءَاتَيْنَا مُوسَىٰ تِسْعَ ءَايَٰتٍۭ بَيِّنَٰتٍۢ ۖ فَسْـَٔلْ بَنِىٓ إِسْرَٰٓءِيلَ إِذْ جَآءَهُمْ فَقَالَ لَهُۥ فِرْعَوْنُ إِنِّى لَأَظُنُّكَ يَٰمُوسَىٰ مَسْحُورًۭا,101,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-101- Urdu Translation: ,17-101- Urdu Tafseer: ,17-101- English Translation: ,17-101- English Tafseer: ,17-101- Sindhi Translation: ,17-101- Sindhi Tafseer:,17-101- Hindi Translation: ,17-101- Hindi Tafseer: ,17-101- Pushto Translation: ,17-101- Pushto Tafseer: 
2131,قَالَ لَقَدْ عَلِمْتَ مَآ أَنزَلَ هَٰٓؤُلَآءِ إِلَّا رَبُّ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضِ بَصَآئِرَ وَإِنِّى لَأَظُنُّكَ يَٰفِرْعَوْنُ مَثْبُورًۭا,102,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-102- Urdu Translation: ,17-102- Urdu Tafseer: ,17-102- English Translation: ,17-102- English Tafseer: ,17-102- Sindhi Translation: ,17-102- Sindhi Tafseer:,17-102- Hindi Translation: ,17-102- Hindi Tafseer: ,17-102- Pushto Translation: ,17-102- Pushto Tafseer: 
2132,فَأَرَادَ أَن يَسْتَفِزَّهُم مِّنَ ٱلْأَرْضِ فَأَغْرَقْنَٰهُ وَمَن مَّعَهُۥ جَمِيعًۭا,103,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-103- Urdu Translation: ,17-103- Urdu Tafseer: ,17-103- English Translation: ,17-103- English Tafseer: ,17-103- Sindhi Translation: ,17-103- Sindhi Tafseer:,17-103- Hindi Translation: ,17-103- Hindi Tafseer: ,17-103- Pushto Translation: ,17-103- Pushto Tafseer: 
2133,وَقُلْنَا مِنۢ بَعْدِهِۦ لِبَنِىٓ إِسْرَٰٓءِيلَ ٱسْكُنُوا۟ ٱلْأَرْضَ فَإِذَا جَآءَ وَعْدُ ٱلْءَاخِرَةِ جِئْنَا بِكُمْ لَفِيفًۭا,104,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-104- Urdu Translation: ,17-104- Urdu Tafseer: ,17-104- English Translation: ,17-104- English Tafseer: ,17-104- Sindhi Translation: ,17-104- Sindhi Tafseer:,17-104- Hindi Translation: ,17-104- Hindi Tafseer: ,17-104- Pushto Translation: ,17-104- Pushto Tafseer: 
2134,وَبِٱلْحَقِّ أَنزَلْنَٰهُ وَبِٱلْحَقِّ نَزَلَ ۗ وَمَآ أَرْسَلْنَٰكَ إِلَّا مُبَشِّرًۭا وَنَذِيرًۭا,105,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-105- Urdu Translation: ,17-105- Urdu Tafseer: ,17-105- English Translation: ,17-105- English Tafseer: ,17-105- Sindhi Translation: ,17-105- Sindhi Tafseer:,17-105- Hindi Translation: ,17-105- Hindi Tafseer: ,17-105- Pushto Translation: ,17-105- Pushto Tafseer: 
2135,وَقُرْءَانًۭا فَرَقْنَٰهُ لِتَقْرَأَهُۥ عَلَى ٱلنَّاسِ عَلَىٰ مُكْثٍۢ وَنَزَّلْنَٰهُ تَنزِيلًۭا,106,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-106- Urdu Translation: ,17-106- Urdu Tafseer: ,17-106- English Translation: ,17-106- English Tafseer: ,17-106- Sindhi Translation: ,17-106- Sindhi Tafseer:,17-106- Hindi Translation: ,17-106- Hindi Tafseer: ,17-106- Pushto Translation: ,17-106- Pushto Tafseer: 
2136,قُلْ ءَامِنُوا۟ بِهِۦٓ أَوْ لَا تُؤْمِنُوٓا۟ ۚ إِنَّ ٱلَّذِينَ أُوتُوا۟ ٱلْعِلْمَ مِن قَبْلِهِۦٓ إِذَا يُتْلَىٰ عَلَيْهِمْ يَخِرُّونَ لِلْأَذْقَانِ سُجَّدًۭا,107,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-107- Urdu Translation: ,17-107- Urdu Tafseer: ,17-107- English Translation: ,17-107- English Tafseer: ,17-107- Sindhi Translation: ,17-107- Sindhi Tafseer:,17-107- Hindi Translation: ,17-107- Hindi Tafseer: ,17-107- Pushto Translation: ,17-107- Pushto Tafseer: 
2137,وَيَقُولُونَ سُبْحَٰنَ رَبِّنَآ إِن كَانَ وَعْدُ رَبِّنَا لَمَفْعُولًۭا,108,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-108- Urdu Translation: ,17-108- Urdu Tafseer: ,17-108- English Translation: ,17-108- English Tafseer: ,17-108- Sindhi Translation: ,17-108- Sindhi Tafseer:,17-108- Hindi Translation: ,17-108- Hindi Tafseer: ,17-108- Pushto Translation: ,17-108- Pushto Tafseer: 
2138,وَيَخِرُّونَ لِلْأَذْقَانِ يَبْكُونَ وَيَزِيدُهُمْ خُشُوعًۭا ۩,109,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-109- Urdu Translation: ,17-109- Urdu Tafseer: ,17-109- English Translation: ,17-109- English Tafseer: ,17-109- Sindhi Translation: ,17-109- Sindhi Tafseer:,17-109- Hindi Translation: ,17-109- Hindi Tafseer: ,17-109- Pushto Translation: ,17-109- Pushto Tafseer: 
2139,قُلِ ٱدْعُوا۟ ٱللَّهَ أَوِ ٱدْعُوا۟ ٱلرَّحْمَٰنَ ۖ أَيًّۭا مَّا تَدْعُوا۟ فَلَهُ ٱلْأَسْمَآءُ ٱلْحُسْنَىٰ ۚ وَلَا تَجْهَرْ بِصَلَاتِكَ وَلَا تُخَافِتْ بِهَا وَٱبْتَغِ بَيْنَ ذَٰلِكَ سَبِيلًۭا,110,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-110- Urdu Translation: ,17-110- Urdu Tafseer: ,17-110- English Translation: ,17-110- English Tafseer: ,17-110- Sindhi Translation: ,17-110- Sindhi Tafseer:,17-110- Hindi Translation: ,17-110- Hindi Tafseer: ,17-110- Pushto Translation: ,17-110- Pushto Tafseer: 
2140,وَقُلِ ٱلْحَمْدُ لِلَّهِ ٱلَّذِى لَمْ يَتَّخِذْ وَلَدًۭا وَلَمْ يَكُن لَّهُۥ شَرِيكٌۭ فِى ٱلْمُلْكِ وَلَمْ يَكُن لَّهُۥ وَلِىٌّۭ مِّنَ ٱلذُّلِّ ۖ وَكَبِّرْهُ تَكْبِيرًۢا,111,17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,Meccan,17-111- Urdu Translation: ,17-111- Urdu Tafseer: ,17-111- English Translation: ,17-111- English Tafseer: ,17-111- Sindhi Translation: ,17-111- Sindhi Tafseer:,17-111- Hindi Translation: ,17-111- Hindi Tafseer: ,17-111- Pushto Translation: ,17-111- Pushto Tafseer: 
2141,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ ٱلْحَمْدُ لِلَّهِ ٱلَّذِىٓ أَنزَلَ عَلَىٰ عَبْدِهِ ٱلْكِتَٰبَ وَلَمْ يَجْعَل لَّهُۥ عِوَجَا ۜ,1,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-1- Urdu Translation: ,18-1- Urdu Tafseer: ,18-1- English Translation: ,18-1- English Tafseer: ,18-1- Sindhi Translation: ,18-1- Sindhi Tafseer:,18-1- Hindi Translation: ,18-1- Hindi Tafseer: ,18-1- Pushto Translation: ,18-1- Pushto Tafseer: 
2142,قَيِّمًۭا لِّيُنذِرَ بَأْسًۭا شَدِيدًۭا مِّن لَّدُنْهُ وَيُبَشِّرَ ٱلْمُؤْمِنِينَ ٱلَّذِينَ يَعْمَلُونَ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمْ أَجْرًا حَسَنًۭا,2,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-2- Urdu Translation: ,18-2- Urdu Tafseer: ,18-2- English Translation: ,18-2- English Tafseer: ,18-2- Sindhi Translation: ,18-2- Sindhi Tafseer:,18-2- Hindi Translation: ,18-2- Hindi Tafseer: ,18-2- Pushto Translation: ,18-2- Pushto Tafseer: 
2143,مَّٰكِثِينَ فِيهِ أَبَدًۭا,3,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-3- Urdu Translation: ,18-3- Urdu Tafseer: ,18-3- English Translation: ,18-3- English Tafseer: ,18-3- Sindhi Translation: ,18-3- Sindhi Tafseer:,18-3- Hindi Translation: ,18-3- Hindi Tafseer: ,18-3- Pushto Translation: ,18-3- Pushto Tafseer: 
2144,وَيُنذِرَ ٱلَّذِينَ قَالُوا۟ ٱتَّخَذَ ٱللَّهُ وَلَدًۭا,4,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-4- Urdu Translation: ,18-4- Urdu Tafseer: ,18-4- English Translation: ,18-4- English Tafseer: ,18-4- Sindhi Translation: ,18-4- Sindhi Tafseer:,18-4- Hindi Translation: ,18-4- Hindi Tafseer: ,18-4- Pushto Translation: ,18-4- Pushto Tafseer: 
2145,مَّا لَهُم بِهِۦ مِنْ عِلْمٍۢ وَلَا لِءَابَآئِهِمْ ۚ كَبُرَتْ كَلِمَةًۭ تَخْرُجُ مِنْ أَفْوَٰهِهِمْ ۚ إِن يَقُولُونَ إِلَّا كَذِبًۭا,5,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-5- Urdu Translation: ,18-5- Urdu Tafseer: ,18-5- English Translation: ,18-5- English Tafseer: ,18-5- Sindhi Translation: ,18-5- Sindhi Tafseer:,18-5- Hindi Translation: ,18-5- Hindi Tafseer: ,18-5- Pushto Translation: ,18-5- Pushto Tafseer: 
2146,فَلَعَلَّكَ بَٰخِعٌۭ نَّفْسَكَ عَلَىٰٓ ءَاثَٰرِهِمْ إِن لَّمْ يُؤْمِنُوا۟ بِهَٰذَا ٱلْحَدِيثِ أَسَفًا,6,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-6- Urdu Translation: ,18-6- Urdu Tafseer: ,18-6- English Translation: ,18-6- English Tafseer: ,18-6- Sindhi Translation: ,18-6- Sindhi Tafseer:,18-6- Hindi Translation: ,18-6- Hindi Tafseer: ,18-6- Pushto Translation: ,18-6- Pushto Tafseer: 
2147,إِنَّا جَعَلْنَا مَا عَلَى ٱلْأَرْضِ زِينَةًۭ لَّهَا لِنَبْلُوَهُمْ أَيُّهُمْ أَحْسَنُ عَمَلًۭا,7,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-7- Urdu Translation: ,18-7- Urdu Tafseer: ,18-7- English Translation: ,18-7- English Tafseer: ,18-7- Sindhi Translation: ,18-7- Sindhi Tafseer:,18-7- Hindi Translation: ,18-7- Hindi Tafseer: ,18-7- Pushto Translation: ,18-7- Pushto Tafseer: 
2148,وَإِنَّا لَجَٰعِلُونَ مَا عَلَيْهَا صَعِيدًۭا جُرُزًا,8,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-8- Urdu Translation: ,18-8- Urdu Tafseer: ,18-8- English Translation: ,18-8- English Tafseer: ,18-8- Sindhi Translation: ,18-8- Sindhi Tafseer:,18-8- Hindi Translation: ,18-8- Hindi Tafseer: ,18-8- Pushto Translation: ,18-8- Pushto Tafseer: 
2149,أَمْ حَسِبْتَ أَنَّ أَصْحَٰبَ ٱلْكَهْفِ وَٱلرَّقِيمِ كَانُوا۟ مِنْ ءَايَٰتِنَا عَجَبًا,9,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-9- Urdu Translation: ,18-9- Urdu Tafseer: ,18-9- English Translation: ,18-9- English Tafseer: ,18-9- Sindhi Translation: ,18-9- Sindhi Tafseer:,18-9- Hindi Translation: ,18-9- Hindi Tafseer: ,18-9- Pushto Translation: ,18-9- Pushto Tafseer: 
2150,إِذْ أَوَى ٱلْفِتْيَةُ إِلَى ٱلْكَهْفِ فَقَالُوا۟ رَبَّنَآ ءَاتِنَا مِن لَّدُنكَ رَحْمَةًۭ وَهَيِّئْ لَنَا مِنْ أَمْرِنَا رَشَدًۭا,10,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-10- Urdu Translation: ,18-10- Urdu Tafseer: ,18-10- English Translation: ,18-10- English Tafseer: ,18-10- Sindhi Translation: ,18-10- Sindhi Tafseer:,18-10- Hindi Translation: ,18-10- Hindi Tafseer: ,18-10- Pushto Translation: ,18-10- Pushto Tafseer: 
2151,فَضَرَبْنَا عَلَىٰٓ ءَاذَانِهِمْ فِى ٱلْكَهْفِ سِنِينَ عَدَدًۭا,11,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-11- Urdu Translation: ,18-11- Urdu Tafseer: ,18-11- English Translation: ,18-11- English Tafseer: ,18-11- Sindhi Translation: ,18-11- Sindhi Tafseer:,18-11- Hindi Translation: ,18-11- Hindi Tafseer: ,18-11- Pushto Translation: ,18-11- Pushto Tafseer: 
2152,ثُمَّ بَعَثْنَٰهُمْ لِنَعْلَمَ أَىُّ ٱلْحِزْبَيْنِ أَحْصَىٰ لِمَا لَبِثُوٓا۟ أَمَدًۭا,12,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-12- Urdu Translation: ,18-12- Urdu Tafseer: ,18-12- English Translation: ,18-12- English Tafseer: ,18-12- Sindhi Translation: ,18-12- Sindhi Tafseer:,18-12- Hindi Translation: ,18-12- Hindi Tafseer: ,18-12- Pushto Translation: ,18-12- Pushto Tafseer: 
2153,نَّحْنُ نَقُصُّ عَلَيْكَ نَبَأَهُم بِٱلْحَقِّ ۚ إِنَّهُمْ فِتْيَةٌ ءَامَنُوا۟ بِرَبِّهِمْ وَزِدْنَٰهُمْ هُدًۭى,13,18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,Meccan,18-13- Urdu Translation: ,18-13- Urdu Tafseer: ,18-13- English Translation: ,18-13- English Tafseer: ,18-13- Sindhi Translation: ,18-13- Sindhi Tafseer:,18-13- Hindi Translation: ,18-13- Hindi Tafseer: ,18-13- Pushto Translation: ,18-13- Pushto Tafseer: 
